name,symbol,current_price,market_cap,total_volume,price_change_percentage_24h
Bitcoin,btc,98375.0,1948967328813,33539833274,1.34608
Ethereum,eth,2715.99,327147755422,17130003204,3.22092
XRP,xrp,2.51,144780626523,3808716257,4.93409
Tether,usdt,1.0,141900657803,29324607050,0.00345
Solana,sol,204.95,99962315622,4691490110,1.18373
BNB,bnb,639.27,93201694686,1178288434,5.28848
USDC,usdc,0.999996,56257172761,3694305995,0.00469
Dogecoin,doge,0.267423,39512855209,1307038192,7.181
Cardano,ada,0.794658,28520855792,1136765510,15.01079
Lido Staked Ether,steth,2713.31,25517313153,61794642,3.22682
TRON,trx,0.245495,21129039692,825671708,5.73137
Wrapped Bitcoin,wbtc,98164.0,12673452390,431261971,1.30142
Chainlink,link,19.66,12528167336,544010128,6.11315
Wrapped stETH,wsteth,3198.98,10972470721,66158853,1.87923
Avalanche,avax,26.59,10943478886,329319656,6.046
Sui,sui,3.51,10855915213,1420951369,13.75379
Stellar,xlm,0.331176,10109306436,300890556,6.11949
Litecoin,ltc,128.91,9724233340,1902124741,14.53154
Toncoin,ton,3.87,9632541479,129888196,1.10227
Shiba Inu,shib,1.63e-05,9596208657,204973785,3.32085
Hedera,hbar,0.246533,9424158605,289685324,4.61139
LEO Token,leo,9.9,9146175570,256970,0.05851
USDS,usds,1.0,8373548063,8621439,-0.01318
Hyperliquid,hype,24.71,8251567620,116266777,5.49132
WETH,weth,2714.83,7920252181,837287576,3.17454
Polkadot,dot,5.17,7854050069,227997742,7.84534
Bitget Token,bgb,6.46,7735679395,280937501,0.7325
Bitcoin Cash,bch,342.85,6793750949,151785932,4.74819
Ethena USDe,usde,0.999598,6050422806,108788145,-0.02093
Uniswap,uni,9.98,5987497123,295136768,9.54484
MANTRA,om,5.95,5776176021,225008614,-2.91893
Wrapped eETH,weeth,2872.7,5460276107,14391785,3.11208
Ondo,ondo,1.41,4438579530,265403277,6.47832
Pepe,pepe,1.039e-05,4363094289,832028437,9.07406
Monero,xmr,221.84,4083499943,66530113,-0.34308
WhiteBIT Coin,wbt,27.73,3995819260,17753217,1.03059
NEAR Protocol,near,3.34,3940161240,227227545,5.02313
Aave,aave,260.27,3919275521,383083448,5.79162
Aptos,apt,6.32,3633041051,330056772,3.98007
Mantle,mnt,1.069,3590634040,105936214,4.73401
Internet Computer,icp,7.39,3547047333,103449424,5.1045
Bittensor,tao,428.65,3503642185,139124164,11.72175
Dai,dai,0.999834,3481889145,199338837,0.00347
Official Trump,trump,16.67,3329988656,944111199,6.99157
sUSDS,susds,1.039,3248138025,946423,0.78392
Ethereum Classic,etc,21.2,3192098716,95841465,4.47949
OKB,okb,50.3,3016682327,10056075,4.87996
VeChain,vet,0.03533554,2861016292,54655104,8.50468
Gate,gt,22.53,2839349267,14713046,4.64645
POL (ex-MATIC),pol,0.326011,2783598526,76849341,6.54793
